'Kenneth','3793 Columbia Mine Road',3200,'Prevost','kenneth@hello-world.com','staff/profiles/kenneth/avatar.png','255-48-5875','PST'
'Michael','1688 Strawberry Street',2800,'Sloan','michael@hello-world.com','staff/profiles/michael/avatar.png','572-48-1821','PST'
'John','347 Hanover Drive',3580,'Brock','john@hello-world.com','staff/profiles/john/avatar.png','687-15-1788','PST'
'William','916 Manor Station Avenue',3720,'Stewart','william@hello-world.com','staff/profiles/william/avatar.png','248-57-9833','PST'
'Kyle','545 Sherman Drive',2820,'Beverly','kyle@hello-world.com','staff/profiles/kyle/avatar.png','448-87-2655','PST'
'Tommy','8 Bank Ave',2350,'Deloera','tommy@hello-world.com','staff/profiles/tommy/avatar.png','785-22-1584','PST'
'Derek','81 Charles St.',2270,'Walls','derek@hello-world.com','staff/profiles/derek/avatar.png','789-78-1599','PST'
'Mavis','308 Charles Drive', 2610,'Marino','mavis@hello-world.com','staff/profiles/mavis/avatar.png','982-25-7822','PST'
'Judy','9903 Wild Horce Circle',3510,'White','judy@hello-world.com','staff/profiles/judy/avatar.png','165-95-4855','PST'
'Paul','234 Columbia St.',3440,'Barkley','paul@hello-world.com','staff/profiles/paul/avatar.png','245-73-2699','PST'
'Richard','7389 Middle River',2850,'Sedlak','richard@hello-world.com','staff/profiles/richard/avatar.png','245-57-2457','PST'
